month,category,amount
2025-12,Banco,181.54
2025-12,Comunicacion,664.0
2025-12,Fumigacion,3248.0
2025-12,Gas,18960.07
2025-12,Luz,2860.0
2025-12,Seguridad,36888.0
2025-12,Varios,12961.4
2026-01,Banco,219.24
2026-01,Comunicacion,1213.0
2026-01,Fumigacion,3718.96
2026-01,Limpieza,17773.94
2026-01,Seguridad,36888.0
2026-01,Varios,3523.51
2026-02,Banco,203.57999999999998
2026-02,Drenaje,3480.0
2026-02,Fumigacion,3718.96
2026-02,Gas,17069.29
2026-02,Herramienta,1392.0
2026-02,Limpieza,21297.6
2026-02,Luz,2857.0
2026-02,Reparacion,1200.0
2026-02,Seguridad,36888.0
2026-02,Varios,12200.01
2026-03,Banco,248.24
2026-03,Camaras,6960.0
2026-03,Comunicacion,664.0
2026-03,Drenaje,15428.0
2026-03,Fumigacion,3718.96
2026-03,Limpieza,21297.6
2026-03,Seguridad,36888.0
2026-03,Varios,1628.99
2026-04,Banco,211.12
2026-04,Comunicacion,1213.0
2026-04,Fumigacion,3718.96
2026-04,Gas,41346.47
2026-04,Jardin,6206.0
2026-04,Limpieza,21297.6
2026-04,Luz,2472.0
2026-04,Reparacion,2030.0
2026-04,Seguridad,36888.0
2026-05,Banco,249.4
2026-05,Drenaje,14268.0
2026-05,Fumigacion,3718.96
2026-05,Gas,30864.98
2026-05,Jardin,754.0
2026-05,Limpieza,21297.6
2026-05,Reparacion,6297.88
2026-05,Seguridad,36888.0
2026-05,Varios,7824.44
2026-06,Banco,234.32
2026-06,Comunicacion,664.0
2026-06,Fumigacion,3718.96
2026-06,Limpieza,21297.6
2026-06,Seguridad,36888.0
2026-06,Varios,3259.81
2026-07,Banco,204.16
2026-07,Comunicacion,664.0
2026-07,Drenaje,23084.0
2026-07,Fumigacion,3718.96
2026-07,Limpieza,21297.6
2026-07,Luz,2471.0
2026-07,Seguridad,36888.0
2026-07,Varios,8442.51
2026-08,Agua Potable,11200.0
2026-08,Banco,211.7
2026-08,Comunicacion,664.0
2026-08,Fumigacion,3718.96
2026-08,Limpieza,21297.6
2026-08,Luz,173.0
2026-08,Varios,9430.82
2026-09,Banco,211.7
2026-09,Comunicacion,664.0
2026-09,Limpieza,21297.6
2026-09,Seguridad,73776.0
