casa,main_debt_balance,other_debt_balance,total_debt
1,0.0,-5112.73,-5112.73
2,0.0,1867.33,1867.33
3,-124456.91,-24952.92,-149409.83
4,0.0,0.28,0.28
5,0.0,-204.9,-204.9
6,-360.39,-1226.95,-1587.34
7,-5249.58,-1025.0,-6274.58
8,-16352.75,-7177.77,-23530.52
9,-10671.37,-1925.0,-12596.37
10,0.0,0.9,0.9
11,0.0,5644.03,5644.03
12,0.0,-228.84,-228.84
13,0.0,114.3,114.3
14,0.0,-317.18,-317.18
15,0.0,-1923.95,-1923.95
16,0.0,-5007.98,-5007.98
17,0.0,-1704.87,-1704.87
18,0.0,-8171.45,-8171.45
19,0.0,-3900.23,-3900.23
20,0.0,-9964.25,-9964.25
21,-13488.9,-5359.31,-18848.21
22,0.0,-1215.91,-1215.91
23,0.0,-6516.71,-6516.71
24,0.0,-97.66,-97.66
25,0.0,-10842.83,-10842.83
26,0.0,25.0,25.0
27,-12454.73,-10095.19,-22549.92
28,0.0,0.28,0.28
29,-1595.17,-3077.86,-4673.03
30,-201.7,0.0,-201.7
31,-8642.53,-5772.1,-14414.63
32,0.0,-2942.86,-2942.86
33,-509.82,-5086.55,-5596.37
34,0.0,-2093.01,-2093.01
35,0.0,-10815.82,-10815.82
