"month","amount","type"
"2025-11",313312.7,"balance"
"2025-12",338062.97,"balance"
"2026-01",347672.77,"balance"
"2026-02",319350.67,"balance"
"2026-03",324451.19,"balance"
"2026-04",290601.6,"balance"
"2026-05",233306,"balance"
"2026-06",263039.66,"balance"
"2026-07",257035.71,"balance"
"2026-08",299078.34,"balance"
"2026-09",278495.46,"balance"
"2025-12",75763.01,"outcome"
"2026-01",63336.65,"outcome"
"2026-02",100306.44,"outcome"
"2026-03",86833.79,"outcome"
"2026-04",115383.15,"outcome"
"2026-05",122163.26,"outcome"
"2026-06",66062.69,"outcome"
"2026-07",96770.23,"outcome"
"2026-08",46696.08,"outcome"
"2026-09",95949.3,"outcome"
"2025-12",100863.28,"income"
"2026-01",72946.45,"income"
"2026-02",71984.34,"income"
"2026-03",91116.31,"income"
"2026-04",81533.56,"income"
"2026-05",64867.66,"income"
"2026-06",95796.35,"income"
"2026-07",90766.28,"income"
"2026-08",88738.71,"income"
"2026-09",73316.3,"income"
"2025-12",114052.92,"expected_income"
"2026-01",85441.11,"expected_income"
"2026-02",80887.09,"expected_income"
"2026-03",90693.16,"expected_income"
"2026-04",91196.82,"expected_income"
"2026-05",77015,"expected_income"
"2026-06",145453.37,"expected_income"
"2026-07",96994.09,"expected_income"
"2026-08",91212.91,"expected_income"
"2026-09",74005,"expected_income"
